Topic,Count,Name,Representation,Representative_Docs
88,233,88_cajun_cajun chicken_cajun style_salad cajun,"['cajun', 'cajun chicken', 'cajun style', 'salad cajun', 'cajun cajun']","[""['cajun']"", ""['cajun']"", ""['cajun']""]"
89,232,89_split pea_split_barley soup_barley,"['split pea', 'split', 'barley soup', 'barley', 'pea']","[""['split', 'pea', 'soup']"", ""['split', 'pea', 'soup']"", ""['split', 'pea', 'soup']""]"
90,231,90_jello_jello salad_pretzel_salad jello,"['jello', 'jello salad', 'pretzel', 'salad jello', 'jello shots']","[""['jello', 'salad']"", ""['jello']"", ""['jello']""]"
91,230,91_scallops_scallops scallops_scallop_sea scallops,"['scallops', 'scallops scallops', 'scallop', 'sea scallops', 'bay scallops']","[""['scallops']"", ""['scallops']"", ""['scallops']""]"
92,229,92_tex_tex mex_mex_mex chicken,"['tex', 'tex mex', 'mex', 'mex chicken', 'casserole tex']","[""['tex', 'mex', 'chicken', 'rice']"", ""['tex', 'mex', 'chicken']"", ""['tex', 'mex', 'chicken']""]"
93,226,93_john_hoppin john_hoppin_tom,"['john', 'hoppin john', 'hoppin', 'tom', 'meatloaf']","[""['hoppin', 'john']"", ""['hoppin', 'john']"", ""['hoppin', 'john']""]"
94,214,94_hummus_hummus hummus_pepper hummus_hummus dip,"['hummus', 'hummus hummus', 'pepper hummus', 'hummus dip', 'hummus pepper']","[""['hummus']"", ""['hummus']"", ""['hummus']""]"
95,210,95_stroganoff_beef stroganoff_stroganoff beef_beef,"['stroganoff', 'beef stroganoff', 'stroganoff beef', 'beef', 'stroganoff crock']","[""['beef', 'stroganoff']"", ""['beef', 'stroganoff']"", ""['beef', 'stroganoff']""]"
96,207,96_dumplings_chicken dumplings_dumplings chicken_dumplings dumplings,"['dumplings', 'chicken dumplings', 'dumplings chicken', 'dumplings dumplings', 'apple dumplings']","[""['chicken', 'dumplings']"", ""['chicken', 'dumplings']"", ""['chicken', 'dumplings']""]"
97,206,97_jalapeno_jalapenos_jalapeno poppers_johnny jalapeno,"['jalapeno', 'jalapenos', 'jalapeno poppers', 'johnny jalapeno', 'johnny']","[""['jalapeno']"", ""['n', 'jalapeno']"", ""['jalapeno']""]"
98,206,98_soup soup_soup_day soup_soup day,"['soup soup', 'soup', 'day soup', 'soup day', 'day']","[""['soup']"", ""['soup']"", ""['soup']""]"
99,203,99_caramel_caramels_caramels caramel_caramel apple,"['caramel', 'caramels', 'caramels caramel', 'caramel apple', 'caramel caramel']","[""['caramel']"", ""['caramel']"", ""['caramel']""]"
100,203,100_weight_weight watchers_watchers_points weight,"['weight', 'weight watchers', 'watchers', 'points weight', 'watchers weight']","[""['weight', 'watchers']"", ""['weight', 'watchers']"", ""['weight', 'watchers']""]"
101,201,101_buffalo_buffalo chicken_buffalo wings_wings buffalo,"['buffalo', 'buffalo chicken', 'buffalo wings', 'wings buffalo', 'wings']","[""['buffalo']"", ""['buffalo']"", ""['buffalo', 'chicken']""]"
102,199,102_rolls_spring_spring rolls_rolls rolls,"['rolls', 'spring', 'spring rolls', 'rolls rolls', 'crescent']","[""['rolls']"", ""['rolls']"", ""['rolls']""]"
103,198,103_cider_apple cider_cider apple_cider cider,"['cider', 'apple cider', 'cider apple', 'cider cider', 'apple']","[""['apple', 'cider']"", ""['apple', 'cider']"", ""['apple', 'cider']""]"
